City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Shelburne,CA,2021-02-07 08:48:41,44.0787,-80.2041,17.01,91,100,8.7
99,Dum Duma,IN,2021-02-07 08:48:41,27.5667,95.5667,78.8,65,40,3.44
100,Clyde River,CA,2021-02-07 08:36:35,70.4692,-68.5914,-7.6,84,90,2.3
101,Valparaiso,CL,2021-02-07 08:48:42,-33.0393,-71.6273,60.8,88,90,2.3
102,Tasiilaq,GL,2021-02-07 08:39:38,65.6145,-37.6368,32.0,59,40,14.97
103,Koslan,RU,2021-02-07 08:48:42,63.4564,48.8989,-21.71,84,90,10.76
104,Padang,ID,2021-02-07 08:39:38,-0.9492,100.3543,91.4,55,20,8.05
105,Hithadhoo,MV,2021-02-07 08:39:50,-0.6,73.0833,82.56,70,50,10.63
106,Locri,IT,2021-02-07 08:48:42,38.2414,16.2623,62.01,77,20,5.75
107,Alyangula,AU,2021-02-07 08:48:42,-13.8483,136.4192,86.0,70,90,11.5
108,Bangassou,CF,2021-02-07 08:48:43,4.7413,22.8184,87.12,13,0,5.99
109,Beringovskiy,RU,2021-02-07 08:35:13,63.05,179.3167,-6.92,91,99,13.15
110,Arraial Do Cabo,BR,2021-02-07 08:39:32,-22.9661,-42.0278,72.52,78,86,5.95
111,Havoysund,NO,2021-02-07 08:48:43,70.9963,24.6622,26.76,94,100,21.18
112,Sorong,ID,2021-02-07 08:48:43,-0.8833,131.25,82.92,77,100,5.88
113,Inuvik,CA,2021-02-07 08:48:43,68.3499,-133.7218,-13.0,77,100,6.91
114,Hounde,BF,2021-02-07 08:48:44,11.5,-3.5167,85.05,17,98,3.0
115,Chokwe,MZ,2021-02-07 08:48:44,-24.5333,32.9833,87.78,51,68,3.42
116,Laguna,US,2021-02-07 08:35:22,38.421,-121.4238,46.0,87,1,2.39
117,Inverell,AU,2021-02-07 08:48:44,-29.7833,151.1167,73.0,43,57,3.0
118,Nikolskoye,RU,2021-02-07 08:39:44,59.7035,30.7861,12.99,85,75,15.66
119,Cherskiy,RU,2021-02-07 08:39:32,68.75,161.3,-4.92,79,0,2.98
120,The Pas,CA,2021-02-07 08:48:44,53.8251,-101.2541,-31.0,68,1,12.66
121,Gazli,UZ,2021-02-07 08:48:44,40.1333,63.45,57.99,39,100,5.46
122,Mugumu,TZ,2021-02-07 08:48:44,-1.85,34.7,80.29,47,69,5.28
123,Tiarei,PF,2021-02-07 08:40:09,-17.5333,-149.3333,75.2,73,75,3.44
124,Kaitangata,NZ,2021-02-07 08:39:38,-46.2817,169.8464,56.73,94,10,1.14
125,Ponta Do Sol,PT,2021-02-07 08:40:05,32.6667,-17.1,54.0,67,85,1.01
126,Rey Bouba,CM,2021-02-07 08:48:45,8.6724,14.1786,88.38,12,11,4.12
127,Patterson,US,2021-02-07 08:48:45,37.4716,-121.1297,48.99,87,1,2.06
128,Vaini,TO,2021-02-07 08:39:43,-21.2,-175.2,78.8,94,75,9.22
129,Namibe,AO,2021-02-07 08:40:03,-15.1961,12.1522,71.6,73,75,9.22
130,Pevek,RU,2021-02-07 08:40:03,69.7008,170.3133,-9.67,86,0,3.06
131,Sobolevo,RU,2021-02-07 08:48:45,54.4299,31.8996,3.78,93,17,8.84
132,Hervey Bay,AU,2021-02-07 08:39:55,-25.2986,152.8535,82.99,65,12,14.97
133,Ostrovnoy,RU,2021-02-07 08:39:41,68.0531,39.5131,8.47,89,100,13.51
134,San Quintin,MX,2021-02-07 08:48:46,30.4833,-115.95,57.34,76,0,6.08
135,Codrington,AU,2021-02-07 08:35:12,-38.2667,141.9667,57.76,70,23,13.24
