City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,86,100,7.65,overcast clouds
122,Iqaluit,CA,63.7506,-68.5145,30.2,74,90,18.41,light snow
123,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,13.8,clear sky
124,Barrow,US,71.2906,-156.7887,-25.6,68,1,9.22,clear sky
125,College,US,64.8569,-147.8028,-11.99,77,20,4.61,few clouds
126,Cape Town,ZA,-33.9258,18.4232,66.2,68,0,14.97,clear sky
127,Clyde River,CA,70.4692,-68.5914,-2.2,84,75,9.22,light snow
128,Les Herbiers,FR,46.8667,-1.0167,35.6,87,0,6.91,clear sky
129,Bluff,NZ,-46.6,168.3333,62.6,65,99,4.63,overcast clouds
130,Frontera,MX,26.9333,-101.45,71.44,22,93,1.66,overcast clouds
131,Takoradi,GH,4.8845,-1.7554,79.81,86,61,8.93,broken clouds
132,Thunder Bay,CA,48.4001,-89.3168,-5.8,45,1,16.11,snow
133,Paamiut,GL,61.994,-49.6678,28.0,86,86,8.32,overcast clouds
134,Fukue,JP,32.6881,128.8419,46.4,53,0,17.27,clear sky
135,Cherskiy,RU,68.75,161.3,2.75,70,12,4.65,few clouds
136,Butaritari,KI,3.0707,172.7902,81.05,80,90,19.35,overcast clouds
137,Mitsamiouli,KM,-11.3847,43.2844,82.42,79,88,11.81,moderate rain
138,Kalmar,SE,56.6616,16.3616,24.01,100,20,6.91,few clouds
139,Tanout,NE,14.9709,8.8879,64.08,23,87,9.51,overcast clouds
140,Shenjiamen,CN,29.9576,122.298,48.06,80,100,18.81,overcast clouds
141,Rawson,AR,-43.3002,-65.1023,59.13,59,7,14.61,clear sky
142,Bredasdorp,ZA,-34.5322,20.0403,59.0,77,7,4.61,clear sky
143,Borba,BR,-4.3878,-59.5939,77.31,86,100,1.19,overcast clouds
144,Charters Towers,AU,-20.1,146.2667,85.64,63,100,8.25,overcast clouds
145,Luderitz,NA,-26.6481,15.1594,67.17,57,0,28.01,clear sky
146,Lorengau,PG,-2.0226,147.2712,83.88,76,100,5.3,overcast clouds
147,Puyang,CN,29.4603,119.8861,48.4,85,100,9.66,light rain
148,Sao Filipe,CV,14.8961,-24.4956,68.88,75,100,14.07,overcast clouds
149,Yuksekova,TR,37.5736,44.2872,30.2,93,4,6.91,mist
150,Vaini,TO,-21.2,-175.2,77.0,100,90,10.36,moderate rain
151,Kaitangata,NZ,-46.2817,169.8464,64.99,86,99,7.0,overcast clouds
152,Tasiilaq,GL,65.6145,-37.6368,26.6,46,0,9.22,clear sky
